,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
104,gc_content,segment_7916_8695,BM,-273.13617722543637,0.00248037,0.4314387602097385,0.4314387602097385
105,longest_ORF,segment_7916_8695,NeutralModel,-196.23685530556043,0.02616255,-0.0012253702320437932,1.0481552295908403
106,longest_ORF,segment_7916_8695,NeutralModel (fixed u=1.3),-198.78196810442992,0.02614084,-0.0034101696060079476,0.83327411193895
107,longest_ORF,segment_7916_8695,OU,-199.09700008948053,0.02477026,0.005971384560345993,121.22955968716825
108,longest_ORF,segment_7916_8695,OU (Z0=Zeq),-200.94222098273562,0.02322857,0.10404857483858738,0.10404857483858738
109,longest_ORF,segment_7916_8695,BM,-203.28457082326315,0.0230504,0.10403573751588609,0.10403573751588609
110,A_percent,segment_7916_8695,NeutralModel,-295.5962458761839,0.00150799,0.2915008112541472,0.22376721950357067
111,A_percent,segment_7916_8695,NeutralModel (fixed u=1.3),-297.64419567744136,0.00148105,0.31030483652741436,0.06330764032160975
112,A_percent,segment_7916_8695,OU,-299.1922516134867,0.00151201,0.2903020797904012,0.27176644583496423
113,A_percent,segment_7916_8695,OU (Z0=Zeq),-299.56365729797,0.0014129,0.2786671390786328,0.2786671390786328
114,A_percent,segment_7916_8695,BM,-301.7254881382921,0.00143213,0.2786769898998162,0.2786769898998162
115,longest_ORF_alan,segment_7916_8695,NeutralModel,346.4864355671968,12459.21346977,-232.0498709307278,1290.6938046837695
116,longest_ORF_alan,segment_7916_8695,NeutralModel (fixed u=1.3),343.95714349430114,12426.827139,-222.7667910145249,1965.2763208701915
117,longest_ORF_alan,segment_7916_8695,OU,342.5727834200674,14611.38099425,-309.88670322517726,291.2141791269297
118,longest_ORF_alan,segment_7916_8695,OU (Z0=Zeq),345.5580858539092,14171.33463707,56.00234560431594,56.00234560431594
119,longest_ORF_alan,segment_7916_8695,BM,345.9409207082357,13410.57080552,58.412403635170016,58.412403635170016
